집행목적,대상인원,집행금액,1소속부서,집행지주소,집행지명,cnt
브리핑룸 환경개선 업무협의 간담회,행정팀 성옥현 등 5명,70000,대변인,중구 남대문로,루핀,1
"서울시, 고령 외국인 근로자 건강, 안전 모두 챙긴다 보도자료 관련 간담회",대변인 등 4명,96000,대변인,중구 무교동,남산집,1
부정보도 대응방안 업무협의 간담회,신문팀장 등 5명,105500,대변인,중구 다동길,（주)초류향,1
"서울시, 장애인단체에 근무할 중증장애인 인턴 선발 관련 간담회",신문팀 박병수 등 2명,21800,대변인,종로구 종로,포쿡광화문Ｄ타워점,1
시정 방송홍보 개선방안 마련 업무협의 간담회,언론담당관 등 3명,52500,대변인,중구 다동길,（주)초류향,1
시정 언론홍보 개선방안 마련 업무협의 간담회,언론담당관 등 3명,50000,대변인,중구 무교로,제이．에스．텍사스바,1
외신기자 업무협의 간담회,해외언론팀 허경란 등 2명,44600,대변인,종로구 종로3길,매드포갈릭,1
서울로 등 보행친화도시 관련 시정 현안 설명 및 서울의 미래발전 방안에 대한 의견 청취 간담회,시장 등 13명,353000,대변인,중구 태평로,리틀타이,1
해빙기 대비 봄철 소방안전대책 집중 추진 보도자료 관련 간담회,신문팀장 등 5명,84000,대변인,중구 덕수궁길,메이드인시카고피자,1
보도자료 발굴 업무협의 간담회,신문팀장 등 2명,32000,대변인,중구 남대문로9길,오복미역,1
"서울시, 예산부터 지역문제 해결까지 협치의 일상화 보도자료 관련 간담회",언론담당관 등 5명,110000,대변인,중구 남대문로1길,서울삼계탕,1
시정 주요이슈 발굴 업무협의 간담회,언론담당관 등 4명,105000,대변인,중구 세종대로21길,더루이,1
당번 노고 격려 간담회,모니터링팀장 등 3명,24000,대변인,중구 다동길,돈궁,1
시정홍보아카데미 준비 노고 격려간담회,행정팀 선일규 등 4명,88000,대변인, 종로구 종로,엉터리생고기,1
실국 홍보방안 마련 업무협의 간담회,대변인 등 4명,103500,대변인,중구 남대문로9길,해우리,1
부정보도 대응방안 업무협의 간담회,신문팀장 등 2명,24000,대변인,중구 세종대로,사보텐,1
"세운상가 일대, 4차산업혁명 이끈다 기자설명회 관련 간담회",신문팀장 등 10명,281000,대변인,중구 서소문로,삼우정,1
주말 당번 노고 격려 간담회,행정팀장 등 4명,49000,대변인,중구 세종대로,남도한식고운님,1
"수도권 전철 운영기관, 부정승차 합동단속 실시 보도자료 관련 간담회",방송팀장 등 6명,158500,대변인,중구 무교로,왕비집,1
